Bệnh,Bài tập
Sảy thai tự nhiên,"[""""Các bài tập giãn cơ nhẹ nhàng: Giúp phục hồi cả về thể chất và tinh thần"""", """"Đi bộ: Khi đã sẵn sàng về thể chất và tinh thần"""", """"Yoga: Giúp thư giãn hệ thần kinh"""", """"Tránh các bài tập gắng sức: Cho đến khi được bác sĩ cho phép""""]"
Sỏi mật,"[""""Tránh các bữa ăn nhiều chất béo trước khi tập luyện"""", """"Đi bộ: Thúc đẩy tiêu hóa"""", """"Bài tập thở: Giảm căng thẳng và co thắt"""", """"Tránh các bài tập tập trung vào cơ bụng: Ngăn ngừa khó chịu""""]"
Bệnh đa xơ cứng,"[""""Luyện tập thăng bằng: Ngăn ngừa té ngã"""", """"Trị liệu bằng nước: Tốt cho khớp"""", """"Kéo giãn: Giảm cứng khớp"""", """"Luyện tập kháng lực khi ngồi: Tăng cường sức mạnh một cách an toàn""""]"
Đau thắt ngực,"[""""Bài tập phục hồi chức năng tim mạch: Cần có sự giám sát"""", """"Đi bộ trên mặt đất bằng phẳng: Phương pháp an toàn cho tim mạch"""", """"Tránh tập luyện trong thời tiết lạnh: Ngăn ngừa co thắt mạch máu"""", """"Không nâng vật nặng: Có thể gây ra các triệu chứng""""]"
rối loạn sắc tố da,"[""""Tránh tiếp xúc trực tiếp với ánh nắng mặt trời: Tập thể dục trong nhà hoặc có sử dụng đồ bảo hộ"""", """"Các hoạt động ít đổ mồ hôi: Ngăn ngừa ma sát và viêm nhiễm"""", """"Yoga: Nhẹ nhàng và không gây kích ứng"""", """"Uống đủ nước: Giúp da khỏe mạnh""""]"
rối loạn nhân cách,"[""""Thể thao đồng đội: Khuyến khích tương tác xã hội"""", """"Đi bộ hoặc chạy bộ: Thói quen có cấu trúc giúp cải thiện tâm trạng"""", """"Yoga hoặc thái cực quyền: Thúc đẩy sự tập trung"""", """"Huấn luyện thể dục có giám sát: Xây dựng kỷ luật và lòng tin""""]"
Viêm họng do liên cầu khuẩn,"[""""Nghỉ ngơi: Cho đến khi hết nhiễm trùng"""", """"Tránh tập thể dục tim mạch: Khi bị sốt hoặc đau họng"""", """"Đi bộ: Đi bộ dần dần sau khi các triệu chứng thuyên giảm"""", """"Uống nhiều nước và nghỉ ngơi giọng nói sau khi tập luyện""""]"
Khuyết tật phát triển,"[""""Các hoạt động tích hợp trị liệu nghề nghiệp"""", """"Bơi lội: Tăng cường khả năng phối hợp vận động"""", """"Chơi nhóm hoặc tập thể dục có cấu trúc"""", """"Luyện tập thăng bằng và cơ lõi: Phù hợp với khả năng cá nhân""""]"
Đau lưng mãn tính,"[""""Ổn định cơ lõi: Cần thiết để hỗ trợ"""", """"Thể dục nhịp điệu dưới nước: Tác động tối thiểu lên cột sống"""", """"Giãn cơ: Cơ gân kheo, hông và lưng"""", """"Tránh các môn thể thao có tác động mạnh""""]"
Suy tim,"[""""Phục hồi chức năng tim mạch có giám sát: Chương trình được thiết kế riêng"""", """"Đi bộ: Chậm rãi và được giám sát"""", """"Kỹ thuật thở: Cải thiện hiệu quả sử dụng oxy"""", """"Tránh mất nước hoặc gắng sức đột ngột""""]"
Viêm kết mạc,"[""""Tránh các môn thể thao dưới nước: Ngăn ngừa kích ứng thêm"""", """"Đi bộ nhẹ nhàng trong nhà: Ngăn ngừa mỏi mắt"""", """"Không dùng chung dụng cụ tập gym"""", """"Rửa mặt sau khi tập luyện""""]"
Thoát vị đĩa đệm,"[""""Bài tập duỗi McKenzie: Dưới sự hướng dẫn"""", """"Đi bộ: Hỗ trợ cột sống"""", """"Tăng cường cơ lõi: Ổn định lưng"""", """"Tránh cúi gập/vặn người khi chịu tải""""]"
hăm tã,"[""""Không liên quan đến tập thể dục: Tập trung vào vệ sinh"""", """"Tránh tích tụ nhiệt và mồ hôi"""", """"Để da thở"""", """"Vận động nhẹ nhàng khi tã hở (đối với trẻ sơ sinh)""""]"
Chàm,"[""""Tránh các bài tập gây đổ mồ hôi nhiều"""", """"Đi bộ trong nhà hoặc tập yoga nhẹ nhàng"""", """"Mặc quần áo tập luyện thoáng mát"""", """"Tắm ngay sau khi tập thể dục""""]"
